Sentence,Sentiment,processed_text,sentiment_text
"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .",neutral,"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level .",
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,
"By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company .",positive,"By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company .",
Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,positive,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,
"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",neutral,"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",
$GTAT Will re-enter short on bounce...,negative,$GTAT Will re-enter short on bounce...,
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry .",positive,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry .",
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",negative,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",
Neither of the companies use genetically engineered soy at the moment .,neutral,Neither of the companies use genetically engineered soy at the moment .,
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,neutral,Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,
The company expects meat purchases to remain at about 8mn kilos in 2011 .,neutral,The company expects meat purchases to remain at about 8mn kilos in 2011 .,
"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",positive,"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",
Crown Castle buys Tower Development Corp for $461 million,positive,Crown Castle buys Tower Development Corp for $461 million,
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",neutral,"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",negative,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",neutral,"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral,"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",positive,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",
"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .",neutral,"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland .",
$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,negative,$AAPL weekly still under the 50 moving average and creating a lower high.,
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,positive,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive,The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",neutral,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",
The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,neutral,The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,
"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .",positive,"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .",
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",neutral,"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral,As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,
"The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery .",neutral,"The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery .",
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,positive,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,neutral,The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",positive,"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks",
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",neutral,"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",
The new chain has 700 discount stores and 250 supermarkets .,neutral,The new chain has 700 discount stores and 250 supermarkets .,
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,neutral,Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at .,
The announced restructuring will significantly decrease the Company 's indebtedness .,positive,The announced restructuring will significantly decrease the Company 's indebtedness .,
"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative,"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",
"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",neutral,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",neutral,"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",
Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,neutral,Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,
"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",
"HK Ruokatalo produces many turkey products , such as cold cuts .",neutral,"HK Ruokatalo produces many turkey products , such as cold cuts .",
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",neutral,"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral,These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,
"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",neutral,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,neutral,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,
More than a third of the original participants dropped out due to nausea and other side effects .,negative,More than a third of the original participants dropped out due to nausea and other side effects .,
The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,neutral,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,
$AMZN Going thru the roof needs a sell!,positive,$AMZN Going thru the roof needs a sell!,
"Besides , Pit-Produkt will enter the new segments .",neutral,"Besides , Pit-Produkt will enter the new segments .",
"The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them .",neutral,"The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them .",
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",
"In 2010 , the Marimekko Group s net sales were EUR 73,297 thousand ( EUR 72,473 thousand ) and operating profit was EUR 8,169 thousand ( EUR 6,291 thousand ) .",neutral,"In 2010 , the Marimekko Group s net sales were EUR 73,297 thousand ( EUR 72,473 thousand ) and operating profit was EUR 8,169 thousand ( EUR 6,291 thousand ) .",
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative,"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",
AB InBev to sell more SAB assets as seeks EU deal approval,neutral,AB InBev to sell more SAB assets as seeks EU deal approval,
"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",neutral,"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,positive,Preparing for a Breakout Trade in Netflix $NFLX $$,
"Community gardening has become a popular activity , especially to raise vegetables .",neutral,"Community gardening has become a popular activity , especially to raise vegetables .",
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,neutral,Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,
$ELN longs...congrats...another HOD,positive,$ELN longs...congrats...another HOD,
"Upon establishment , the plan is directed to approximately 20 persons .",neutral,"Upon establishment , the plan is directed to approximately 20 persons .",
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",neutral,"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral,"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",negative,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",
"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",neutral,"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",
"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",neutral,"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",neutral,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",
Earnings per share were EUR -0.04 -0.06 .,neutral,Earnings per share were EUR -0.04 -0.06 .,
The company said it estimates to make a slight profit thanks to cost-cutting measures .,positive,The company said it estimates to make a slight profit thanks to cost-cutting measures .,
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,positive,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral,Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,
Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral,Alma Media 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",neutral,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral,"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",positive,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",
"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 .",neutral,"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 .",
Part of the reductions will be made through retirement arrangements .,neutral,Part of the reductions will be made through retirement arrangements .,
Rio Tinto CEO says iron ore market at equilibrium,neutral,Rio Tinto CEO says iron ore market at equilibrium,
The company website is www.ahlstrom.com .,neutral,The company website is .,
"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .",neutral,"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .",
"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",neutral,"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",
The value of the three-year contract is estimated at EUR40m .,neutral,The value of the three-year contract is estimated at EUR40m .,
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive,@Intuitiv $CLNE gasoline prices spike in California.,
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",neutral,"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",
Small investors have voiced fears that the shares will end up with risk investors .,neutral,Small investors have voiced fears that the shares will end up with risk investors .,
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",neutral,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,neutral,The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,
"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",positive,"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",neutral,"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",
"Kiosk and cinema operations have suffered , in particular .",negative,"Kiosk and cinema operations have suffered , in particular .",
"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",neutral,"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",neutral,"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",
"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",neutral,"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",positive,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,neutral,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,negative,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",neutral,"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",
"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",neutral,"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",positive,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",
Tesco share price steady as analysts weigh in on results,neutral,Tesco share price steady as analysts weigh in on results,
YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,positive,YIT Construction and the town of Riihim+ñki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by,
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",neutral,"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",
"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",neutral,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",neutral,"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",
"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",neutral,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",
CompaniesLSE adds ex-SEC head Schapiro to board,neutral,CompaniesLSE adds ex-SEC head Schapiro to board,
Panostaja did not disclose the purchase price .,neutral,Panostaja did not disclose the purchase price .,
"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",neutral,"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,The first stage of the contract covers 133 stores and 600 cash registers .,
4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars",
$ATHN Seems like a good short setup. Stop above the 50 day. No position.,negative,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,
"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",neutral,"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",
The financial details of the acquisition were not disclosed .,neutral,The financial details of the acquisition were not disclosed .,
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",
"Aviva, M&G suspend property funds as investors panic",negative,"Aviva, M&G suspend property funds as investors panic",
"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .",neutral,"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .",
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,neutral,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,
Both the net sales and operating profit were record high in the company 's history .,positive,Both the net sales and operating profit were record high in the company 's history .,
"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",neutral,"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",neutral,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",neutral,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",
"The competition was received with great enthusiasm by the employees , he goes on .",positive,"The competition was received with great enthusiasm by the employees , he goes on .",
